

2024-08-23 00:00:00,Out,Food,250000,Cash,14500
2023-08-25 00:00:00,In,50000,Cash,500
2023-03-25 00:00:00,In,600,Cas,600
2023-03-23 00:00:00,Out,Food,23000,Cash,1000
2024-02-12 00:00:00,Out,Food,13000,Cash,500
2024-02-12 00:00:00,Out,Food,23440,Cash,500
2023-05-12 00:00:00,Out,Food,145500,Cash,500
2024-02-12 00:00:00,In,2345,Cash,100
2023-02-12 00:00:00,In,23000,Cash,1000
2023-02-12 00:00:00,In,12300,Cash,1000
2024-03-12 00:00:00,In,1233,Cash,1000
2023-03-12 00:00:00,In,23344,Cash,1000
2024-03-12 00:00:00,In,2344,Cash,1000
